0.000000              0.277930
0.050000              0.565216
0.100000              1.147355
0.150000              1.736314
0.200000              2.316470
0.250000              2.874630
0.300000              3.400750
0.350000              3.888120
0.400000              4.333160
0.450000              4.734920
0.500000             5.094400
0.550000             5.414100
0.600000             5.697400
0.650000             5.948000
0.700000             6.169600
0.750000             6.366000
0.800000             6.540700
0.850000             6.696900
0.900000             6.837400
0.950000             6.964500
1.000000             7.025000
